;car_id;model_id;location_id;car_number;icon_url
58;636;54;;597;/car-icons/toyota-corolla-white.png
59;118;15;65.0;454;/car-icons/peugeot-208-blue.png
60;75;5;56.0;411;/car-icons/toyota-yaris-black.png
61;84;5;67.0;420;/car-icons/toyota-yaris-black.png
62;134;5;4.0;470;/car-icons/toyota-yaris-gray.png
63;101;4;20.0;437;/car-icons/toyota-auris-beige.png
64;46;3;3.0;381;/car-icons/skoda-rapid-gray.png
65;91;5;13.0;427;/car-icons/toyota-yaris-blue.png
66;144;4;7.0;480;/car-icons/toyota-auris-gray.png
67;100;4;54.0;436;/car-icons/toyota-auris-blue.png
68;96;8;5.0;432;/car-icons/toyota-priusplus-white.png
69;95;8;43.0;431;/car-icons/toyota-priusplus-black.png
70;132;5;28.0;468;/car-icons/toyota-yaris-gray.png
71;184;11;52.0;521;/car-icons/nissan-evalia-white.png
72;94;8;14.0;430;/car-icons/toyota-priusplus-gray.png
73;151;4;13.0;487;/car-icons/toyota-auris-silver.png
74;188;10;48.0;525;/car-icons/nissan-leaf_2-silver.png
75;612;53;;573;/car-icons/toyota-proace-black.png
76;115;15;70.0;451;/car-icons/peugeot-208-gray.png
77;140;5;61.0;476;/car-icons/toyota-yaris-red.png
78;146;4;61.0;482;/car-icons/toyota-auris-blue.png
79;574;4;226.0;530;/car-icons/toyota-auris-silver.png
80;570;10;223.0;542;/car-icons/nissan-leaf_2-gray.png
81;616;52;;577;/car-icons/skoda-citigo-blue_metallic.png
82;162;8;41.0;498;/car-icons/toyota-priusplus-gray.png
83;97;4;39.0;433;/car-icons/toyota-auris-black.png
84;142;5;4.0;478;/car-icons/toyota-yaris-silver.png
85;89;5;4.0;425;/car-icons/toyota-yaris-blue.png
86;112;15;3.0;448;/car-icons/peugeot-208-gray.png
87;125;7;39.0;461;/car-icons/toyota-rav4-burgundy.png
88;105;4;43.0;441;/car-icons/toyota-auris-blue.png
89;172;4;27.0;508;/car-icons/toyota-auris-gray.png
90;4;4;3.0;440;/car-icons/toyota-auris-white.png
